Distancia	Velocidad	Velocidad2
4	4	16
2	5	25
4	5	25
8	5	25
8	5	25
7	7	49
7	7	49
8	8	64
9	8	64
11	8	64
13	8	64
5	9	81
5	9	81
13	9	81
8	10	100
14	10	100
17	10	100
11	12	144
19	12	144
21	12	144
15	13	169
18	13	169
27	13	169
14	14	196
16	14	196
16	15	225
14	16	256
19	16	256
34	16	256
22	17	289
29	17	289
29	18	324
34	18	324
47	18	324
30	19	361
48	20	400
39	21	441
42	21	441
55	21	441
56	24	576
33	25	625
48	25	625
56	25	625
59	25	625
39	26	676
41	26	676
57	27	729
78	27	729
64	28	784
84	28	784
54	29	841
68	29	841
60	30	900
67	30	900
101	30	900
77	31	961
85	35	1225
107	35	1225
79	36	1296
138	39	1521
110	40	1600
134	40	1600
